证券代码,证券简称,净利润增长率%,加权平均ROE本期,加权平均ROE上年同期,加权平均ROE增长率%,营业收入增长率%,基本
600395,盘江股份,41307.50714285713,4.462142857142858,2.8957142857142864,51705.43928571429,13.222857142857135,0.1742857142857142
000150,宜华健康,14355.846666666666,12.627333333333334,11.058666666666669,8676.525333333333,228.5246666666667,0.6793333333333333
000662,天夏智慧,6314.704,3.4546666666666663,1.477333333333333,3138.476,30.774,0.15933333333333338
600136,当代明诚,6077.6286666666665,2.9866666666666672,1.8153333333333335,2375.204666666666,179.9013333333333,0.14266666666666666
000011,深物业A,4452.464666666666,7.378666666666666,8.081333333333331,3380.0013333333336,67.69133333333333,0.30533333333333335
600485,信威集团,3954.1859999999997,3.1646666666666667,7.420666666666667,-474.6033333333333,390.08866666666665,0.13533333333333333
600291,西水股份,3697.302,8.052,7.730666666666668,3087.1453333333334,25.473333333333336,0.8153333333333334
002555,三七互娱,2516.5073333333335,14.734,10.626666666666667,665.914,373.1806666666667,0.3926666666666667
000038,深大通,2050.1406666666667,3.377333333333333,-0.9013333333333337,6519.152,123.53733333333336,0.33266666666666667
000673,当代东方,1882.6446153846155,4.56,5.97,90.28615384615385,376.99538461538464,0.13615384615384618
000036,华联控股,1818.678666666667,15.489333333333331,11.579999999999997,1418.2479999999998,591.7580000000002,0.45866666666666667
600217,中再资环,1689.828,8.656999999999998,9.642000000000001,1191.103,23.877000000000002,0.086
002137,麦达数字,1570.4193333333335,3.7393333333333336,3.088666666666667,530.8240000000001,32.09466666666666,0.09733333333333334
000517,荣安地产,1188.0613333333333,4.581999999999999,4.569333333333334,1127.3586666666665,138.37533333333332,0.05866666666666667
002439,启明星辰,1144.832857142857,4.047857142857142,2.948571428571429,609.2642857142857,24.190714285714282,0.1042857142857143
002714,牧原股份,1057.8613333333333,16.752666666666666,14.432666666666668,732.7226666666667,58.49199999999999,0.9566666666666667
002133,广宇集团,1027.3666666666668,4.421666666666668,2.415833333333333,955.3633333333333,105.3675,0.17
600892,大晟文化,1027.3242857142855,-5.378571428571429,-5.66857142857143,-1078.317142857143,611.655,0.19214285714285717
002067,景兴纸业,1011.3378571428572,6.328571428571429,3.9107142857142856,951.9735714285714,23.22214285714286,0.20071428571428568
000609,中迪投资,972.6586666666666,3.8306666666666658,3.9633333333333325,884.4040000000001,1488.001333333333,0.18733333333333332
600516,方大炭素,968.0679999999999,11.81,3.949333333333333,735.4446666666664,74.95666666666666,0.6039999999999998
600710,苏美达,945.9153333333333,-3.4660000000000006,-6.44,-18.868,21.836666666666666,-0.051333333333333314
600771,广誉远,940.6946666666668,4.829333333333334,5.749333333333334,280.2426666666667,50.12733333333333,0.21066666666666667
000676,智度股份,869.516,2.816666666666667,-3.7079999999999997,64.83400000000002,280.08799999999997,0.218
600133,东湖高新,859.2159999999999,11.128666666666664,10.604666666666668,604.636,10.435333333333334,0.39399999999999985
000034,神州数码,844.8393333333333,11.191333333333331,16.515333333333334,315.9533333333333,2334.5820000000003,0.33799999999999997
600293,三峡新材,834.2993333333332,3.2280000000000006,1.6606666666666665,178.5873333333333,241.27066666666673,0.116
002648,卫星石化,831.336,3.7399999999999993,2.536666666666667,693.4486666666668,26.841333333333335,0.2133333333333333
002366,台海核电,825.0679999999999,14.451333333333334,9.739333333333333,210.10266666666666,89.488,0.4646666666666667
600145,*ST新亿,825.0466666666666,2.653333333333333,0.24666666666666667,415.75666666666666,819.1766666666666,0.02333333333333333
002102,ST冠福,785.1606666666668,3.824666666666667,2.3433333333333333,1206.8406666666667,208.81266666666667,0.08733333333333333
