证券代码,净利润增长率%,加权平均ROE本期,加权平均ROE上年同期,加权平均ROE增长率%,营业收入增长率%,基本
000001,99.90888888888888,17.73,16.918888888888887,48.67888888888889,26.176666666666662,1.8211111111111111
000002,24.500000000000004,19.641111111111112,18.57888888888889,6.6000000000000005,22.79888888888889,1.337777777777778
000004,400.8855555555555,8.654444444444444,6.042222222222222,358.81555555555553,32.23777777777778,0.09444444444444446
000005,-14.634444444444442,-0.0077777777777780065,0.015555555555555347,-24.328888888888894,72.92666666666668,0.003333333333333333
000006,28.357777777777777,16.34777777777778,15.662222222222223,12.552222222222222,19.36888888888889,0.508888888888889
000007,99.82000000000001,4.871666666666666,4.805000000000001,60.833333333333336,-9.778333333333336,0.07666666666666667
000008,267.8877777777778,4.131111111111112,3.5400000000000005,153.95222222222225,46.20888888888888,0.10444444444444444
000009,13.20444444444444,10.006666666666666,11.013333333333332,-0.5622222222222213,10.887777777777778,0.20888888888888887
000010,-761.5628571428571,-8.061428571428573,3.354285714285715,-770.2414285714285,39.13,-0.1814285714285714
000011,135.09888888888887,20.34111111111111,17.57222222222222,108.45333333333332,23.05333333333333,0.5133333333333333
000012,81.40285714285714,14.982857142857144,12.957142857142856,67.88,16.30857142857143,0.4957142857142857
000014,-2.2466666666666666,8.605555555555554,9.798888888888888,-9.796666666666667,14.02888888888889,0.2288888888888889
000016,304.83222222222213,4.502222222222223,-1.7666666666666662,-122.33555555555556,12.291111111111112,0.21777777777777782
000017,612.5866666666667,9.623333333333333,23.49333333333333,550.63,-13.166666666666666,0.0
000018,347.9944444444444,9.36888888888889,5.403333333333332,416.1466666666667,10.662222222222221,0.22999999999999993
000019,74.98777777777777,1.5066666666666666,2.5433333333333334,26.155555555555566,10.666666666666666,0.05333333333333334
000020,-7.762222222222224,1.24,1.5488888888888888,-11.125555555555556,27.447777777777773,0.012222222222222223
000021,25.39666666666666,5.7844444444444445,5.7155555555555555,19.54444444444444,0.9111111111111116,0.19777777777777777
000022,-0.2844444444444439,13.463333333333333,15.007777777777777,-6.841111111111111,0.8577777777777781,0.7711111111111111
000023,33.413333333333334,4.8244444444444445,4.773333333333333,28.697777777777787,10.892222222222223,0.12111111111111111
000024,23.590000000000003,13.698333333333332,13.534999999999998,2.288333333333334,59.776666666666664,1.6133333333333333
000025,72.11999999999999,4.078888888888889,3.592222222222222,34.528888888888886,-4.862222222222223,0.07
000026,13.17888888888889,8.683333333333334,9.134444444444442,-3.626666666666667,14.54,0.3266666666666667
000027,4.257777777777779,8.958888888888888,9.596666666666666,-3.2511111111111117,5.181111111111111,0.5166666666666667
000028,21.767777777777777,21.723333333333333,23.436666666666667,-7.661111111111111,14.093333333333334,1.7177777777777778
000029,50.93777777777778,9.08222222222222,8.508888888888889,36.412222222222226,12.984444444444444,0.18000000000000005
000030,13.262500000000001,13.9225,13.969999999999999,1.6049999999999995,10.0825,0.5075000000000001
000031,26.856666666666666,11.109999999999998,9.87111111111111,21.33777777777778,31.67555555555556,0.3244444444444444
000032,155.91555555555558,5.361111111111111,6.165555555555556,57.67222222222223,4.8066666666666675,0.18555555555555556
000033,-270.8416666666667,5.335,-9.558333333333335,-244.29833333333332,2.8699999999999997,-0.018333333333333333
000034,316.5257142857143,20.61142857142857,36.317142857142855,40.39857142857142,1259.6000000000001,0.3028571428571428
000035,35.6225,12.145,-11.987499999999997,16.735,63.38249999999999,0.265
000036,221.36888888888885,15.268888888888888,8.244444444444444,156.98777777777778,204.66555555555556,0.34333333333333327
000037,-144.29000000000002,0.2499999999999999,0.22666666666666732,-177.79666666666665,0.3344444444444442,0.034444444444444396
000038,167.99374999999998,0.6462499999999998,2.1537499999999996,-460.065,68.76625000000001,0.18750000000000003
000039,50.44888888888889,10.958888888888888,11.181111111111111,35.31666666666667,16.933333333333337,0.7811111111111111
000042,443.06333333333333,11.912222222222223,10.84222222222222,405.9088888888889,30.55555555555556,1.13
000043,109.78444444444443,11.634444444444446,11.446666666666665,34.098888888888894,18.064444444444447,0.6855555555555556
000045,-144.10999999999999,0.7700000000000001,1.8455555555555554,-159.39444444444445,17.561111111111114,0.004444444444444445
000046,52.31333333333334,11.229999999999999,9.835555555555555,42.43888888888889,34.95444444444445,0.29555555555555557
000048,943.3983333333332,15.880000000000003,31.563333333333333,777.18,19.608333333333334,0.265
000049,-58.56444444444445,30.41111111111111,27.99666666666667,-34.64333333333334,37.36,0.9755555555555553
000050,-219.2588888888889,4.686666666666667,4.117777777777778,-282.82222222222225,22.85333333333333,0.2744444444444445
000055,104.952,18.047,13.142000000000001,63.82500000000001,16.921,0.45000000000000007
000056,-417.03999999999996,-21.981666666666666,13.794999999999996,-641.8366666666666,75.51166666666667,-0.2783333333333334
000058,-60.57222222222223,2.3566666666666674,1.446666666666667,-64.51888888888888,14.545555555555556,0.04111111111111111
000059,-131.33444444444444,3.606666666666666,2.5722222222222224,-154.20666666666665,82.58777777777777,0.2522222222222222
000060,35.525555555555556,9.864444444444445,9.70111111111111,19.768888888888892,15.158888888888889,0.29444444444444445
000061,46.92555555555556,2.9877777777777776,3.2177777777777776,37.50111111111111,9.227777777777778,0.10666666666666666
000062,51.90222222222222,14.020000000000001,13.217777777777778,80.25555555555555,39.58444444444444,0.45999999999999996
000063,21.07,7.150000000000001,6.774444444444445,10.98111111111111,11.435555555555556,0.5344444444444445
000065,32.65111111111111,16.135555555555555,15.555555555555555,8.997777777777777,23.937777777777775,0.6688888888888889
000066,220.64444444444445,4.783333333333333,3.8588888888888886,411.75888888888886,68.09222222222222,0.13
