证券代码,证券简称,净利润增长率%,加权平均ROE本期,加权平均ROE上年同期,加权平均ROE增长率%,营业收入增长率%,基本
000611,天首发展,-5300.36,-157.2,-150.44,-3749.18,58.13,-1.8
000612,焦作万方,17.24,9.68,29.31,50.33,-22.73,0.38
000613,大东海A,1847.46,-9.7,-15.04,2008.8,175.05,-0.03
000615,京汉股份,33308.18,54.25,44.74,23079.4,83.38,2.2
000616,海航投资,8131.18,4.8100000000000005,15.27,8321.72,-433.92,0.15
000617,中油资本,-4941.62,-57.19,-111.4,-6037.7,-49.86,2.21
000619,海螺型材,-633.27,18.79,31.36,-627.92,-111.87,1.28
000620,新华联,520.68,53.32,58.36,152.07,585.15,1.72
000622,恒立实业,224.67,-74.64,-87.43,109.77,95.82,-0.32
000623,吉林敖东,358.2,102.86,111.5,44.97,145.47,17.97
000625,长安汽车,-110.61,208.52,271.43,-414.12,185.84,15.83
000626,远大控股,1033.55,208.04,296.45,-75.09,295.43,8.92
000627,天茂集团,8503.14,80.94,101.18,1262.58,-123.68,2.33
000628,高新发展,614.36,16.29,-30.09,459.56,-242.53,0.52
000629,攀钢钒钛,1089.25,-29.72,-166.03,927.35,17.64,-0.56
000630,铜陵有色,744.89,15.53,12.88,406.63,-19.89,0.32
000631,顺发恒业,905.58,110.15,102.14,532.39,334.39,2.65
000632,三木集团,1208.37,9.38,6.41,1187.68,270.03,0.25
000633,合金投资,-76.69,-134.03,-138.67,-328.47,31.33,-0.56
000635,英 力 特,1120.76,27.6,25.98,1035.8,42.73,2.67
000636,风华高科,1993.74,52.64,25.97,1592.35,300.45,2.75
000637,茂化实华,1337.8,76.67,81.25,1300.3,112.52,1.28
000638,万方发展,-1802.56,-1.1400000000000001,3.38,6196.53,-167.43,-0.08
000639,西王食品,625.96,109.33,101.96,191.79,678.4,4.69
000650,仁和药业,282.33,132.28,130.46,77.67,352.6,2.79
000651,格力电器,342.94,276.81,268.37,73.39,181.82,27.67
000652,泰达股份,-537.9,39.1,35.49,-593.71,774.85,0.8
000655,*ST金岭,-6136.84,-35.35,-12.89,-6601.93,-26.29,-1.75
000656,金科股份,392.61,79.48,81.17,93.22,716.5,2.43
000657,中钨高新,720.64,-8.39,-32.88,436.95,36.39,-0.51
000659,珠海中富,-3413.93,-74.81,-67.82,-3983.35,-142.53,-0.56
000661,长春高新,638.51,177.95,178.32,87.85,433.33,33.89
000662,天夏智慧,94720.56,51.82,22.16,47077.14,461.61,2.39
000663,永安林业,-1471.31,12.91,3.77,-525.57,611.06,0.49
000665,湖北广电,172.25,57.15,62.47,-92.99,209.9,4.92
000666,经纬纺机,604.14,94.87,88.41,394.18,115.85,9.01
000667,美好置业,2095.09,58.8,53.01,1868.67,199.7,1.46
000668,荣丰控股,-378.28,-18.91,-39.75,-379.64,9945.81,-0.79
000669,金鸿控股,-10.02,57.2,84.85,-252.93,278.82,4.71
000670,盈方微,-6648.97,-92.5,-8.13,-5631.17,481.03,-0.51
000671,阳 光 城,651.36,90.3,122.82,-1.12,621.04,2.99
000672,上峰水泥,1704.94,178.23,135.86,2805.3,171.78,4.41
000673,当代东方,24474.38,59.28,77.61,1173.72,4900.94,1.77
000676,智度股份,13042.74,42.25,-55.62,972.51,4201.32,3.27
000677,恒天海龙,431.28,-169.55,-378.42,31.67,-72.65,-0.24
000678,襄阳轴承,-1629.16,-10.46,-6.5600000000000005,-599.74,75.78,-0.26
000681,视觉中国,415.73,88.31,90.51,190.89,393.38,2.45
000682,东方电子,456.9,29.94,24.59,323.17,162.89,0.5
000683,远兴能源,1222.59,38.81,13.4,938.07,175.21,0.9500000000000001
000685,中山公用,429.07,100.73,105.91,159.66,81.21,7.19
000686,东北证券,583.34,115.94,135.08,210.48,585.0,6.31
000687,华讯方舟,2404.2,38.0,12.67,2870.34,680.88,0.67
000688,国城矿业,1144.55,154.91,160.57,559.42,284.86,2.4
000690,宝新能源,-52.46,82.59,125.35,-297.51,-86.48,2.74
000691,亚太实业,-8993.75,-18.45,-16.36,-11434.32,600.61,-0.06
000692,惠天热电,-6266.23,-25.54,34.67,-6958.83,64.95,-0.58
000693,*ST华泽,-1356.14,-77.74,20.69,-2417.23,-268.52,-1.3599999999999999
000695,滨海能源,349.61,-3.69,-18.7,450.5,290.49,-0.04
000697,炼石航空,-2172.48,-41.3,-6.5600000000000005,-2486.72,46096.73,-1.0
000698,沈阳化工,1583.35,43.1,29.01,1355.93,-35.5,2.17
000700,模塑科技,-407.34,77.12,118.7,-630.62,44.75,3.85
000701,厦门信达,21.31,17.39,42.85,-924.92,358.55,1.07
000702,正虹科技,2502.03,31.14,13.17,2285.19,-107.02,0.55
000703,恒逸石化,7096.07,102.45,46.73,5336.96,520.88,6.22
000705,浙江震元,614.56,33.37,31.52,514.19,110.55,1.31
000707,*ST双环,-5877.52,-141.36,-53.51,-6469.77,-20.57,-2.29
000708,大冶特钢,291.12,93.94,85.12,172.19,267.99,7.9
000709,河钢股份,1107.72,34.19,22.38,1038.73,103.86,1.48
000710,贝瑞基因,-757.2,12.86,-38.93,243.53,98.63,2.29
000711,京蓝科技,3074.29,26.97,-29.6,665.8,6445.12,1.03
000712,锦龙股份,-287.06,122.36,168.22,-490.64,-27.25,4.22
000713,丰乐种业,-487.98,-7.47,-3.21,-480.16,191.16,-0.32
000715,中兴商业,125.99,49.78,50.7,32.73,-89.01,2.14
000716,黑芝麻,635.7,39.39,49.63,201.49,286.84,1.6600000000000001
000717,韶钢松山,5285.56,10.78,-341.88,-192.72,294.95,1.77
000718,苏宁环球,3322.73,103.6,92.13,2582.95,905.01,2.54
000719,中原传媒,244.74,87.65,96.65,-143.89,105.25,6.02
000720,*ST新能,-140.61,14.76,-31.11,-1186.21,-179.53,0.42
000721,西安饮食,-763.56,-7.51,-0.22,-848.29,-21.85,-0.11
000722,湖南发展,-212.09,44.44,57.45,-274.88,-21.67,2.52
000723,美锦能源,-11.32,51.67,15.73,-982.25,502.46,1.25
000725,京东方Ａ,7602.89,45.0,37.27,6983.79,480.82,1.08
000726,鲁 泰Ａ,-68.18,92.05,102.76,-119.66,25.33,6.84
000727,华东科技,-4352.81,-35.23,-3.29,-3557.33,1940.99,-0.8
000728,国元证券,139.95,72.96,84.85,-29.95,174.51,6.68
