,证券代码,证券简称,报告期,披露日期,本期净利润,上年同期净利润,净利润增长率%,加权平均ROE本期,加权平均ROE上年同期,加权平均ROE增长率%,营业收入本期,营业收入上年同期,营业收入增长率%,经营现金流,基本
0,002001,新 和 成,2018-09-30,2017/10/26,25.37亿,9.01亿,181.6,17.09,10.87,57.22,67.19亿,40.92亿,64.2,25.03亿,1.18
1,002001,新 和 成,2018-06-30,2017/8/23,20.59亿,5.86亿,251.32,13.87,7.01,97.86,46.51亿,26.08亿,78.34,13.64亿,0.96
2,002001,新 和 成,2018-03-31,2017/4/24,14.94亿,2.32亿,544.56,10.16,2.83,259.01,30.45亿,12.28亿,148.0,3.94亿,1.18
3,002001,新 和 成,2017-12-31,2017/3/28,17.04亿,12.03亿,41.72,19.87,15.92,24.81,62.35亿,46.96亿,32.77,12.72亿,1.57
4,002001,新 和 成,2017-09-30,2016/10/28,9.01亿,8.45亿,6.59,10.87,11.41,-4.73,40.92亿,34.22亿,19.57,7.77亿,0.83
5,002001,新 和 成,2017-06-30,2016/8/16,5.86亿,5.16亿,13.62,7.01,7.05,-0.57,26.08亿,23.03亿,13.26,4.25亿,0.54
6,002001,新 和 成,2017-03-31,2016/4/28,2.32亿,1.56亿,48.86,2.83,2.18,29.82,12.28亿,10.87亿,13.01,1.27亿,0.21
7,002001,新 和 成,2016-12-31,2016/4/19,12.03亿,4.02亿,199.11,15.92,5.74,177.35,46.96亿,38.23亿,22.86,11.90亿,1.1
8,002001,新 和 成,2016-09-30,2015/10/30,8.45亿,2.85亿,196.63,11.41,3.91,191.82,34.22亿,28.31亿,20.88,7.51亿,0.78
9,002001,新 和 成,2016-06-30,2015/8/3,5.16亿,1.86亿,177.83,7.05,2.61,170.11,23.03亿,19.31亿,19.23,4.38亿,0.47
10,002001,新 和 成,2016-03-31,2015/4/28,1.56亿,8042.77万,93.56,2.18,1.14,91.23,10.87亿,9.58亿,13.46,1.80亿,0.14
11,002001,新 和 成,2015-12-31,2015/4/14,4.02亿,8.08亿,-50.24,5.74,11.95,-51.97,38.23亿,41.64亿,-8.2,9.72亿,0.37
12,002001,新 和 成,2015-09-30,2014/10/30,2.85亿,7.13亿,-60.02,3.91,10.6,-63.11,28.31亿,30.30亿,-6.56,5.21亿,0.26
13,002001,新 和 成,2015-06-30,2014/8/26,1.86亿,5.49亿,-66.17,2.61,8.16,-68.01,19.31亿,21.30亿,-9.35,3.20亿,0.17
14,002001,新 和 成,2015-03-31,2014/4/29,8042.77万,2.04亿,-60.48,1.14,3.05,-62.62,9.58亿,9.64亿,-0.67,1.10亿,0.07
169,002006,精功科技,2018-09-30,2017/10/27,3206.56万,3026.28万,5.96,3.1,3.2,-3.13,7.33亿,5.56亿,31.79,2596.52万,0.07
170,002006,精功科技,2018-06-30,2017/8/12,3147.56万,2761.49万,13.98,3.03,2.92,3.77,5.06亿,4.06亿,24.53,-2518.06万,0.07
171,002006,精功科技,2018-03-31,2017/4/26,1215.51万,1153.59万,5.37,1.18,1.22,-3.28,1.63亿,1.68亿,-2.84,-2156.30万,0.03
172,002006,精功科技,2017-12-31,2017/4/15,9914.48万,6285.68万,57.73,10.16,7.0,45.14,9.50亿,6.98亿,36.25,-5603.50万,0.22
173,002006,精功科技,2017-09-30,2016/10/28,3026.28万,5271.47万,-42.59,3.2,5.84,-45.21,5.56亿,5.59亿,-0.49,-9584.12万,0.07
174,002006,精功科技,2017-06-30,2016/8/13,2761.49万,2970.82万,-7.05,2.92,3.37,-13.35,4.06亿,3.97亿,2.3,-934.11万,0.06
175,002006,精功科技,2017-03-31,2016/4/28,1153.59万,867.29万,33.01,1.22,1.0,22.0,1.68亿,2.27亿,-26.1,-1138.00万,0.03
176,002006,精功科技,2016-12-31,2016/2/27,6285.68万,1586.32万,296.24,7.0,1.85,278.38,6.98亿,6.51亿,7.09,1.86亿,0.14
177,002006,精功科技,2016-09-30,2015/10/29,5271.47万,512.45万,928.68,5.84,0.6,873.33,5.59亿,3.09亿,81.05,8887.42万,0.12
178,002006,精功科技,2016-06-30,2015/8/11,2970.82万,474.60万,525.96,3.37,0.56,501.79,3.97亿,2.15亿,85.01,3131.76万,0.07
179,002006,精功科技,2016-03-31,2015/4/29,867.29万,249.74万,247.28,1.0,0.29,244.83,2.27亿,9529.59万,138.12,-7055.77万,0.02
180,002006,精功科技,2015-12-31,2015/2/11,1586.32万,1259.47万,25.95,1.85,1.5,23.33,6.51亿,9.02亿,-27.78,1.73亿,0.03
181,002006,精功科技,2015-09-30,2014/10/30,512.45万,-3315.02万,115.46,0.6,-4.43,113.54,3.09亿,7.12亿,-56.67,8763.17万,0.01
182,002006,精功科技,2015-06-30,2014/8/9,474.60万,1283.01万,-63.01,0.56,1.54,-63.64,2.15亿,5.60亿,-61.7,276.63万,0.01
183,002006,精功科技,2015-03-31,2014/4/29,249.74万,817.94万,-69.47,0.29,0.98,-70.41,9529.59万,2.89亿,-67.06,-7851.63万,0.01
237,002008,大族激光,2018-09-30,2017/10/26,16.57亿,15.02亿,10.29,20.47,24.58,-16.72,86.56亿,89.14亿,-2.9,-6.35亿,1.55
238,002008,大族激光,2018-06-30,2017/8/29,10.19亿,9.14亿,11.43,12.96,15.83,-18.13,51.07亿,55.36亿,-7.75,-1.50亿,0.95
239,002008,大族激光,2018-03-31,2017/4/25,3.64亿,1.51亿,140.73,4.85,2.79,73.84,16.92亿,15.22亿,11.2,-1.50亿,0.34
240,002008,大族激光,2017-12-31,2017/4/25,16.65亿,7.54亿,120.75,27.6,15.05,83.39,115.60亿,69.59亿,66.12,19.74亿,1.56
241,002008,大族激光,2017-09-30,2016/10/25,15.02亿,6.33亿,137.31,24.58,12.73,93.09,89.14亿,49.89亿,78.69,7105.90万,1.41
242,002008,大族激光,2017-06-30,2016/8/25,9.14亿,4.00亿,128.75,15.83,8.13,94.71,55.36亿,31.22亿,77.3,-4.36亿,0.86
243,002008,大族激光,2017-03-31,2016/4/25,1.51亿,1.15亿,31.5,2.79,2.43,14.81,15.22亿,11.82亿,28.79,-3.67亿,0.14
244,002008,大族激光,2016-12-31,2016/4/19,7.54亿,7.47亿,0.98,15.05,16.99,-11.42,69.59亿,55.87亿,24.55,7.96亿,0.71
245,002008,大族激光,2016-09-30,2015/10/26,6.33亿,6.12亿,3.51,12.73,14.08,-9.59,49.89亿,42.56亿,17.21,7341.12万,0.59
246,002008,大族激光,2016-06-30,2015/8/28,4.00亿,3.17亿,26.23,8.13,7.44,9.27,31.22亿,25.45亿,22.69,-7076.24万,0.38
247,002008,大族激光,2016-03-31,2015/4/27,1.15亿,7580.16万,51.9,2.43,1.81,34.25,11.82亿,10.02亿,17.92,-2.18亿,0.11
248,002008,大族激光,2015-12-31,2015/4/21,7.47亿,7.08亿,5.57,16.99,18.47,-8.01,55.87亿,55.66亿,0.39,5.39亿,0.71
249,002008,大族激光,2015-09-30,2014/10/29,6.12亿,5.29亿,15.62,14.08,13.94,1.0,42.56亿,42.65亿,-0.2,2.87亿,0.58
250,002008,大族激光,2015-06-30,2014/8/26,3.17亿,2.41亿,31.33,7.44,6.51,14.29,25.45亿,22.92亿,11.02,-6551.48万,0.3
251,002008,大族激光,2015-03-31,2014/4/29,7580.16万,3051.75万,148.39,1.81,0.84,115.48,10.02亿,7.99亿,25.41,516.38万,0.07
476,002015,霞客环保,2018-09-30,2017/10/21,114.49万,-353.05万,132.43,0.38,-1.22,131.15,3.23亿,2.58亿,25.22,-5216.36万,0.0
477,002015,霞客环保,2018-06-30,2017/8/24,56.98万,-996.65万,105.72,0.18,-3.5,105.14,2.08亿,1.43亿,45.59,-4457.62万,0.0
478,002015,霞客环保,2018-03-31,2017/4/25,-325.42万,-606.21万,46.32,-1.1,-2.12,48.11,9409.97万,6232.66万,50.98,-1629.72万,-0.01
479,002015,霞客环保,2017-12-31,2017/4/12,747.97万,-4124.19万,118.14,2.55,-13.31,119.16,4.10亿,3.80亿,7.94,2050.89万,0.02
497,002016,世荣兆业,2018-09-30,2017/10/31,5.74亿,3.95亿,45.38,22.92,21.32,7.5,14.11亿,15.60亿,-9.54,-1.38亿,0.71
498,002016,世荣兆业,2018-06-30,2017/8/30,4.42亿,-1133.22万,4003.96,17.68,-0.64,2862.5,10.28亿,1.96亿,424.62,-8729.21万,0.55
499,002016,世荣兆业,2018-03-31,2017/4/28,4.06亿,971.68万,4073.76,15.14,0.54,2703.7,9.34亿,1.31亿,610.73,-2.16亿,0.5
500,002016,世荣兆业,2017-12-31,2017/4/28,9.13亿,9363.08万,875.09,44.17,5.37,722.53,31.05亿,14.33亿,116.7,3038.24万,1.13
501,002016,世荣兆业,2017-09-30,2016/10/28,3.95亿,9290.63万,324.75,21.32,5.33,300.0,15.60亿,11.36亿,37.32,-1837.11万,0.49
502,002016,世荣兆业,2017-06-30,2016/8/29,-1133.22万,1.34亿,-108.48,-0.64,7.58,-108.44,1.96亿,10.37亿,-81.1,-1.13亿,-0.01
503,002016,世荣兆业,2017-03-31,2016/4/27,971.68万,-3469.82万,128.0,0.54,-2.07,126.09,1.31亿,4379.57万,199.96,-1.36亿,0.01
504,002016,世荣兆业,2016-12-31,2016/3/30,9363.08万,6387.93万,46.57,5.37,3.82,40.58,14.33亿,13.49亿,6.22,25.39亿,0.12
505,002016,世荣兆业,2016-09-30,2015/10/31,9290.63万,4444.97万,109.01,5.33,2.67,99.63,11.36亿,8.76亿,29.73,23.26亿,0.11
506,002016,世荣兆业,2016-06-30,2015/8/20,1.34亿,3388.45万,294.48,7.58,2.02,275.25,10.37亿,6.18亿,67.86,10.35亿,0.17
507,002016,世荣兆业,2016-03-31,2015/4/25,-3469.82万,-2582.99万,-34.33,-2.07,-1.62,-27.78,4379.57万,1805.76万,142.53,2.18亿,-0.04
508,002016,世荣兆业,2015-12-31,2015/3/17,6387.93万,1470.07万,334.53,3.82,0.93,310.75,13.49亿,4.21亿,220.39,3031.10万,0.08
509,002016,世荣兆业,2015-09-30,2014/10/30,4444.97万,2942.92万,51.04,2.67,-2.94,190.82,8.76亿,3.58亿,144.76,8937.73万,0.06
510,002016,世荣兆业,2015-06-30,2014/8/28,3388.45万,3943.91万,-14.08,2.02,2.1,-3.81,6.18亿,2.99亿,106.87,5315.56万,0.04
511,002016,世荣兆业,2015-03-31,2014/4/29,-2582.99万,2191.38万,-217.87,-1.62,1.36,-219.12,1805.76万,1.29亿,-86.01,-1.62亿,-0.04
564,002018,*ST华信,2018-09-30,2017/10/21,-12.45亿,3.81亿,-426.71,-42.95,11.42,-476.09,8.85亿,136.23亿,-93.5,-6019.27万,-0.55
565,002018,*ST华信,2018-06-30,2017/8/24,-6.80亿,2.40亿,-383.98,-21.39,7.3,-393.01,8.27亿,89.37亿,-90.75,-8097.69万,-0.3
566,002018,*ST华信,2018-03-31,2017/4/26,-6876.81万,1.16亿,-159.41,-1.97,3.6,-154.72,7.04亿,44.33亿,-84.12,-1.51亿,-0.03
567,002018,*ST华信,2017-12-31,2017/3/18,4.47亿,3.68亿,21.58,13.3,12.03,10.56,167.99亿,190.28亿,-11.71,4.71亿,0.2
568,002018,*ST华信,2017-09-30,2016/10/21,3.81亿,2.11亿,80.26,11.42,6.93,64.79,136.23亿,115.33亿,18.12,-4.86亿,0.17
569,002018,*ST华信,2017-06-30,2016/8/19,2.40亿,1.06亿,125.34,7.3,3.62,101.66,89.37亿,52.66亿,69.74,-4.00亿,0.11
570,002018,*ST华信,2017-03-31,2016/4/27,1.16亿,4877.12万,137.35,3.6,1.67,115.57,44.33亿,25.33亿,75.04,-5.75亿,0.05
571,002018,*ST华信,2016-12-31,2016/3/1,3.68亿,1.58亿,132.75,12.03,5.03,139.17,190.28亿,79.83亿,138.34,-19.32亿,0.16
572,002018,*ST华信,2016-09-30,2015/10/29,2.12亿,2197.45万,863.16,6.93,0.35,1880.0,115.33亿,35.29亿,226.77,-15.53亿,0.09
573,002018,*ST华信,2016-06-30,2015/8/12,1.06亿,4271.64万,148.92,3.62,1.33,172.18,52.66亿,22.69亿,132.08,-9.68亿,0.05
574,002018,*ST华信,2016-03-31,2015/4/24,4877.15万,902.52万,440.39,1.67,0.34,391.18,25.33亿,10.84亿,133.52,-7.64亿,0.04
575,002018,*ST华信,2015-12-31,2015/3/10,1.58亿,1.20亿,32.1,5.03,4.03,24.81,79.83亿,74.48亿,7.18,3202.77万,0.13
576,002018,*ST华信,2015-09-30,2014/10/29,1056.43万,8634.21万,-87.76,0.35,2.93,-88.05,34.87亿,57.45亿,-39.31,8.35亿,0.01
577,002018,*ST华信,2015-06-30,2014/8/15,3905.30万,4810.41万,-18.82,1.33,1.83,-27.32,22.48亿,31.21亿,-27.97,8.50亿,0.03
578,002018,*ST华信,2015-03-31,2014/4/29,910.76万,1570.14万,-42.0,0.34,0.6,-43.33,10.45亿,16.46亿,-36.48,-6201.39万,0.01
598,002019,亿帆医药,2018-09-30,2017/10/30,7.11亿,8.77亿,-18.87,10.59,21.41,-50.54,34.34亿,30.65亿,12.02,9.11亿,0.59
599,002019,亿帆医药,2018-06-30,2017/8/29,5.40亿,4.81亿,12.2,8.1,12.65,-35.97,23.25亿,18.57亿,25.24,6.90亿,0.45
600,002019,亿帆医药,2018-03-31,2017/4/26,3.25亿,1.99亿,63.11,4.9,5.5,-10.91,12.53亿,8.66亿,44.62,3.92亿,0.27
601,002019,亿帆医药,2017-12-31,2017/3/31,13.05亿,7.05亿,85.18,27.87,22.02,26.57,43.73亿,35.05亿,24.79,11.33亿,1.15
602,002019,亿帆医药,2017-09-30,2016/10/27,8.77亿,5.37亿,63.35,21.41,17.27,23.97,30.65亿,26.70亿,14.81,6.50亿,0.79
603,002019,亿帆医药,2017-06-30,2016/8/20,4.81亿,3.64亿,32.04,12.65,12.01,5.33,18.57亿,17.32亿,7.23,3.78亿,0.44
604,002019,亿帆医药,2017-03-31,2016/4/23,1.99亿,1.37亿,45.96,5.5,4.67,17.77,8.66亿,8.23亿,5.28,1.00亿,0.18
605,002019,亿帆医药,2016-12-31,2016/3/31,7.05亿,3.61亿,95.46,22.02,13.29,65.69,35.05亿,24.35亿,43.93,8.56亿,0.64
606,002019,亿帆医药,2016-09-30,2015/10/29,5.37亿,2.94亿,82.81,17.27,10.9,58.44,26.70亿,18.23亿,46.47,4.73亿,0.49
607,002019,亿帆医药,2016-06-30,2015/8/25,3.64亿,1.71亿,113.15,12.01,6.5,84.77,17.32亿,12.18亿,42.16,1.49亿,0.33
608,002019,亿帆医药,2016-03-31,2015/4/25,1.37亿,8418.29万,62.25,4.67,3.25,43.69,8.23亿,5.94亿,38.5,190.64万,0.31
609,002019,亿帆医药,2015-12-31,2015/1/31,3.61亿,2.38亿,51.56,13.29,34.35,-61.31,24.35亿,16.85亿,44.51,4.02亿,0.82
610,002019,亿帆医药,2015-09-30,2014/10/27,2.94亿,1.11亿,163.44,10.9,25.23,-56.8,18.23亿,10.62亿,71.71,2.89亿,0.67
611,002019,亿帆医药,2015-06-30,2014/7/31,1.71亿,8314.41万,105.54,6.5,19.07,-65.92,12.18亿,6.66亿,82.97,8277.15万,0.39
612,002019,亿帆医药,2015-03-31,2014/4/15,8418.29万,4185.97万,101.11,3.25,6.96,-53.3,5.94亿,3.50亿,69.96,6288.12万,0.19
1006,002036,联创电子,2018-09-30,2017/10/24,1.83亿,1.50亿,22.11,9.35,8.98,4.12,35.39亿,36.15亿,-2.1,-9733.22万,0.33
1007,002036,联创电子,2018-06-30,2017/8/28,9642.62万,8304.59万,16.11,5.02,5.05,-0.59,21.98亿,21.63亿,1.6,-7366.00万,0.17
1008,002036,联创电子,2018-03-31,2017/4/27,2220.68万,1103.03万,101.33,1.18,0.68,73.53,9.05亿,6.76亿,33.97,-1512.84万,0.04
1009,002036,联创电子,2017-12-31,2017/3/28,2.84亿,2.10亿,34.79,16.33,13.94,17.14,50.54亿,29.72亿,70.09,4713.95万,0.5
1010,002036,联创电子,2017-09-30,2016/10/27,1.50亿,1.33亿,12.99,8.98,8.96,0.22,36.15亿,15.81亿,128.59,-1.76亿,0.26
1011,002036,联创电子,2017-06-30,2016/8/23,8304.59万,6924.28万,19.93,5.05,4.77,5.87,21.63亿,7.50亿,188.31,135.91万,0.14
1012,002036,联创电子,2017-03-31,2016/4/27,1103.03万,935.77万,17.87,0.68,0.66,3.03,6.76亿,2.69亿,150.77,167.71万,0.02
1013,002036,联创电子,2016-12-31,2016/4/27,2.10亿,1.63亿,29.52,13.94,17.44,-20.07,29.72亿,14.23亿,108.77,1.52亿,0.36
1014,002036,联创电子,2016-09-30,2015/10/26,1.33亿,7959.89万,66.95,8.96,16.72,-46.41,15.81亿,8.85亿,78.62,-1.85亿,0.22
1015,002036,联创电子,2016-06-30,2015/7/31,6924.28万,6468.41万,7.05,4.77,16.58,-71.23,7.50亿,6.39亿,17.33,-1.85亿,0.12
1016,002036,联创电子,2016-03-31,2015/4/29,935.77万,687.37万,36.14,0.66,-0.07,1042.86,2.69亿,2.04亿,31.99,136.85万,0.02
1017,002036,联创电子,2015-12-31,2015/3/28,1.62亿,1.40亿,15.38,17.44,3.4,412.94,14.23亿,14.57亿,-2.32,564.32万,0.45
1018,002036,联创电子,2015-09-30,2014/10/30,1.11亿,1095.31万,916.6,16.72,3.29,408.21,3.13亿,2.87亿,9.06,3965.84万,0.43
1019,002036,联创电子,2015-06-30,2014/7/26,1.10亿,714.17万,1446.56,16.58,2.15,671.16,2.15亿,1.40亿,53.11,7992.09万,0.42
1071,002039,黔源电力,2018-09-30,2017/10/26,2.93亿,3.45亿,-15.14,11.94,15.34,-22.16,18.13亿,20.51亿,-11.6,14.75亿,0.96
1072,002039,黔源电力,2018-06-30,2017/8/25,1.40亿,4713.19万,197.09,5.84,2.22,163.06,10.73亿,7.99亿,34.3,9.19亿,0.46
1073,002039,黔源电力,2018-03-31,2017/4/24,1986.78万,-386.62万,613.88,0.84,-0.18,566.67,3.88亿,3.11亿,24.62,6.02亿,0.07
1074,002039,黔源电力,2017-12-31,2017/3/29,3.20亿,1.30亿,147.16,14.39,6.14,134.36,24.19亿,19.18亿,26.14,15.84亿,1.05
1075,002039,黔源电力,2017-09-30,2016/10/25,3.45亿,1.93亿,78.56,15.34,8.94,71.59,20.51亿,16.81亿,22.03,11.46亿,1.13
1076,002039,黔源电力,2017-06-30,2016/8/20,4713.19万,1.02亿,-54.01,2.22,4.77,-53.46,7.99亿,10.65亿,-24.98,4.86亿,0.15
1077,002039,黔源电力,2017-03-31,2016/4/26,-386.62万,5836.90万,-106.62,-0.18,2.68,-106.72,3.11亿,5.64亿,-44.83,2.28亿,-0.01
1078,002039,黔源电力,2016-12-31,2016/3/30,1.30亿,3.59亿,-63.94,6.14,17.87,-65.64,19.18亿,27.00亿,-28.96,19.72亿,0.42
1079,002039,黔源电力,2016-09-30,2015/10/28,1.93亿,2.62亿,-26.16,8.94,13.24,-32.48,16.81亿,19.77亿,-14.95,17.03亿,0.63
1080,002039,黔源电力,2016-06-30,2015/8/26,1.02亿,9240.92万,10.91,4.77,4.82,-1.04,10.65亿,10.69亿,-0.33,11.57亿,0.34
1081,002039,黔源电力,2016-03-31,2015/4/23,5836.90万,3047.69万,91.52,2.68,1.58,69.62,5.64亿,5.24亿,7.62,5.59亿,0.19
1082,002039,黔源电力,2015-12-31,2015/3/26,3.59亿,2.94亿,22.18,17.87,16.68,7.13,27.00亿,21.47亿,25.75,21.84亿,1.18
1083,002039,黔源电力,2015-09-30,2014/10/29,2.62亿,2.81亿,-7.0,13.24,16.01,-17.3,19.77亿,17.72亿,11.58,14.77亿,0.86
1084,002039,黔源电力,2015-06-30,2014/8/26,9240.92万,-3008.97万,407.11,4.82,-1.88,356.38,10.69亿,5.93亿,80.22,10.27亿,0.3
1085,002039,黔源电力,2015-03-31,2014/4/26,3047.69万,-7379.97万,141.3,1.58,-4.68,133.76,5.24亿,1.22亿,329.76,5.48亿,0.1
1171,002044,美年健康,2018-09-30,2017/10/30,4.14亿,2.46亿,68.18,6.63,6.36,4.25,58.19亿,40.68亿,43.04,8615.37万,0.13
1172,002044,美年健康,2018-06-30,2017/8/29,1.70亿,1520.41万,1015.48,2.59,0.86,201.16,34.85亿,22.14亿,57.42,-2.43亿,0.05
1173,002044,美年健康,2018-03-31,2017/4/26,-9832.25万,-1.42亿,30.54,-1.53,-3.25,52.92,12.25亿,7.42亿,65.0,-1.61亿,-0.04
1174,002044,美年健康,2017-12-31,2017/3/21,6.14亿,4.52亿,35.89,10.0,10.63,-5.93,62.33亿,43.14亿,44.48,14.45亿,0.24
1175,002044,美年健康,2017-09-30,2016/10/26,2.16亿,9537.61万,126.54,6.36,3.09,105.83,29.89亿,18.83亿,58.78,2505.09万,0.09
1176,002044,美年健康,2017-06-30,2016/8/24,2852.09万,-2245.21万,227.03,0.86,-0.74,216.22,16.21亿,10.43亿,55.52,-7779.22万,0.01
1177,002044,美年健康,2017-03-31,2016/4/28,-1.06亿,-1.29亿,18.03,-3.25,-4.31,24.59,5.55亿,3.09亿,79.61,-2.07亿,-0.04
1178,002044,美年健康,2016-12-31,2016/4/22,3.39亿,2.60亿,30.21,10.63,10.32,3.0,30.82亿,21.01亿,46.65,7.07亿,0.14
1179,002044,美年健康,2016-09-30,2015/10/31,9537.61万,7852.54万,21.46,3.09,3.25,-4.92,18.83亿,12.88亿,46.2,-789.05万,0.04
1180,002044,美年健康,2016-06-30,2015/8/29,-2245.21万,-2519.55万,10.89,-0.74,2.36,-131.36,10.43亿,7.07亿,47.52,-1835.08万,-0.01
1181,002044,美年健康,2016-03-31,2015/4/29,-1.29亿,-9952.85万,-29.68,-4.31,0.77,-659.74,3.09亿,1.89亿,63.25,-1.67亿,-0.11
1182,002044,美年健康,2015-12-31,2015/2/27,2.60亿,1.40亿,85.76,10.32,13.42,-23.1,21.01亿,14.31亿,46.89,3.30亿,0.25
1183,002044,美年健康,2015-09-30,2014/10/21,7852.54万,916.41万,756.88,3.25,10.74,-69.74,12.88亿,8.79亿,46.43,1866.91万,0.08
1184,002044,美年健康,2015-06-30,2014/8/28,923.30万,1128.13万,-18.16,2.36,3.18,-25.79,2.34亿,2.19亿,7.13,-8977.30万,0.03
1185,002044,美年健康,2015-03-31,2014/4/29,300.31万,405.23万,-25.89,0.77,1.15,-33.04,9888.43万,8062.88万,22.64,296.76万,0.01
1205,002045,国光电器,2018-09-30,2017/10/25,-6190.84万,9485.64万,-165.27,-4.44,6.9,-164.35,29.31亿,25.35亿,15.61,7941.65万,-0.15
1206,002045,国光电器,2018-06-30,2017/8/19,1374.87万,3443.11万,-60.07,0.95,2.54,-62.6,16.69亿,13.93亿,19.83,-7513.59万,0.03
1207,002045,国光电器,2018-03-31,2017/4/25,1134.44万,1841.01万,-38.38,0.79,1.36,-41.91,8.83亿,6.75亿,30.7,-2.71亿,0.03
1208,002045,国光电器,2017-12-31,2017/3/22,1.31亿,6042.35万,116.44,9.42,4.55,107.03,40.49亿,25.69亿,57.61,1.06亿,0.31
1209,002045,国光电器,2017-09-30,2016/10/28,9485.64万,3253.46万,191.56,6.9,2.49,177.11,25.35亿,16.62亿,52.56,6179.47万,0.23
1210,002045,国光电器,2017-06-30,2016/8/25,3443.11万,388.99万,785.15,2.54,0.3,746.67,13.93亿,8.87亿,56.97,1.61亿,0.08
1211,002045,国光电器,2017-03-31,2016/4/22,1841.01万,319.18万,476.79,1.36,0.24,466.67,6.75亿,3.63亿,85.86,1.23亿,0.04
1212,002045,国光电器,2016-12-31,2016/4/22,6042.35万,4796.48万,25.97,4.55,3.7,22.97,25.69亿,22.31亿,15.13,1.73亿,0.14
1213,002045,国光电器,2016-09-30,2015/10/31,3253.46万,2821.21万,15.32,2.49,2.19,13.7,16.62亿,15.14亿,9.78,1.46亿,0.08
1214,002045,国光电器,2016-06-30,2015/8/22,388.99万,512.74万,-24.14,0.3,0.4,-25.0,8.87亿,8.83亿,0.52,1.90亿,0.01
1215,002045,国光电器,2016-03-31,2015/4/25,319.18万,506.80万,-37.02,0.24,0.39,-38.46,3.63亿,4.37亿,-16.81,1.43亿,0.01
1216,002045,国光电器,2015-12-31,2015/4/1,4796.48万,9256.40万,-48.18,3.7,7.33,-49.52,22.31亿,20.16亿,10.71,1.74亿,0.12
1217,002045,国光电器,2015-09-30,2014/10/29,2821.21万,5386.06万,-47.62,2.19,4.32,-49.31,15.14亿,14.00亿,8.15,405.61万,0.07
1218,002045,国光电器,2015-06-30,2014/8/27,512.74万,2084.71万,-75.4,0.4,1.68,-76.19,8.83亿,8.01亿,10.16,2229.10万,0.01
1219,002045,国光电器,2015-03-31,2014/4/28,506.80万,680.91万,-25.57,0.39,0.55,-29.09,4.37亿,3.74亿,16.79,1.01亿,0.01
1576,002061,浙江交科,2018-09-30,2017/10/27,9.73亿,6.40亿,52.1,16.12,14.2,13.52,182.60亿,128.28亿,42.34,3334.62万,0.74
1577,002061,浙江交科,2018-06-30,2017/8/15,6.71亿,3.96亿,69.47,11.47,8.94,28.3,105.39亿,73.71亿,42.97,-9267.14万,0.51
1578,002061,浙江交科,2018-03-31,2017/4/28,2.98亿,9229.33万,223.11,5.37,3.25,65.23,43.58亿,26.76亿,62.87,3.49亿,0.23
1579,002061,浙江交科,2017-12-31,2017/2/27,11.08亿,4.69亿,136.15,26.4,4.05,551.85,207.68亿,147.70亿,40.61,8.09亿,0.85
1580,002061,浙江交科,2017-09-30,2016/10/27,2.94亿,4161.20万,607.0,14.2,2.66,433.83,33.90亿,25.65亿,32.15,6.99亿,0.5
1581,002061,浙江交科,2017-06-30,2016/8/22,1.95亿,1595.78万,1121.64,8.94,1.03,767.96,22.21亿,16.53亿,34.39,3.60亿,0.32
1582,002061,浙江交科,2017-03-31,2016/4/18,5312.76万,249.87万,2026.18,3.25,-1.36,338.97,10.22亿,8.00亿,27.7,1.14亿,0.1
1583,002061,浙江交科,2016-12-31,2016/2/29,6627.97万,-2.65亿,125.0,4.05,-18.86,121.47,36.46亿,29.82亿,22.27,6.92亿,0.12
1584,002061,浙江交科,2016-09-30,2015/10/29,4161.20万,-1.36亿,130.62,2.66,-8.56,131.07,25.65亿,20.39亿,25.78,3.76亿,0.07
1585,002061,浙江交科,2016-06-30,2015/8/27,1595.78万,-6454.46万,124.72,1.03,-6.33,116.27,16.53亿,11.39亿,45.1,3.00亿,0.03
1586,002061,浙江交科,2016-03-31,2015/4/25,-1193.06万,-3584.90万,66.72,-1.36,-3.43,60.35,4.51亿,4.84亿,-6.83,2241.42万,-0.03
1587,002061,浙江交科,2015-12-31,2015/3/28,-1.83亿,-1.58亿,-15.8,-18.86,-13.79,-36.77,24.80亿,23.79亿,4.26,1.94亿,-0.4
1588,002061,浙江交科,2015-09-30,2014/10/29,-8733.02万,-1.12亿,22.13,-8.56,-9.54,10.27,17.91亿,18.13亿,-1.2,9361.42万,-0.19
1589,002061,浙江交科,2015-06-30,2014/8/27,-6524.35万,-7221.13万,9.65,-6.33,-6.02,-5.15,11.44亿,10.85亿,5.51,5050.90万,-0.14
1590,002061,浙江交科,2015-03-31,2014/4/26,-3584.90万,-704.94万,-408.54,-3.43,-0.57,-501.75,4.84亿,4.44亿,8.98,-1488.54万,-0.08
1780,002067,景兴纸业,2018-09-30,2017/10/27,3.58亿,4.90亿,-26.89,8.88,13.93,-36.25,44.28亿,39.12亿,13.2,2.09亿,0.33
1781,002067,景兴纸业,2018-06-30,2017/8/26,2.48亿,2.36亿,5.08,6.23,6.97,-10.62,28.12亿,23.50亿,19.64,1.81亿,0.23
1782,002067,景兴纸业,2018-03-31,2017/4/26,1.03亿,1.30亿,-20.48,2.64,3.88,-31.96,13.11亿,9.74亿,34.56,1.16亿,0.09
1783,002067,景兴纸业,2017-12-31,2017/4/26,6.38亿,3.19亿,100.14,17.91,10.33,73.38,53.60亿,36.81亿,45.6,-996.66万,0.58
