证券代码,净利润增长率%,加权平均ROE本期,加权平均ROE上年同期,加权平均ROE增长率%,营业收入增长率%,基本
2728,76.47,47.88,48.85,4.48,110.37,2.19
2729,-36.29,18.82,28.54,-77.11,-1.17,1.11
2730,18.45,17.79,20.78,-20.59,40.07,0.66
2731,-34.77,16.38,26.31,-67.69,-11.53,1.21
2732,45.78,39.3,46.07,-31.73,27.89,2.05
2733,-44.4,20.75,33.2,-130.14,32.05,0.9
2734,128.51,29.62,31.56,-9.69,71.81,2.19
2735,26.06,21.38,25.16,-17.82,25.59,1.27
2736,116.15,52.74,64.49,-11.34,84.39,2.7800000000000002
2737,40.58,40.01,59.46,-44.82,37.06,3.54
2738,20.82,25.88,28.4,-22.91,66.53,0.97
2739,74.2,53.99,71.09,-63.53,107.97,3.52
2740,-32.7,17.65,31.14,-107.47,91.58,1.06
2741,55.61,18.28,17.1,14.52,45.93,0.43
2742,70.25,33.8,36.43,-3.7800000000000002,44.01,1.85
2743,82.07,12.32,16.31,-60.32,58.91,0.66
2745,85.38,34.68,57.27,-58.69,87.19,2.81
2746,929.94,23.48,20.99,615.44,22.61,2.05
2747,86.09,26.43,36.46,-81.79,93.48,0.8300000000000001
2748,227.34,24.2,14.95,168.06,34.45,1.07
2749,37.13,38.34,35.26,21.46,21.56,4.33
2750,-16.87,31.83,49.07,-89.59,56.21,0.64
2751,152.47,13.72,14.15,130.96,33.59,0.45
2752,-10.74,17.76,23.1,-40.71,1.01,0.4
2753,250.0,30.58,16.28,164.65,107.79,1.6099999999999999
2755,62.58,3.04,5.25,55.04,69.29,0.16
2756,53.11,19.5,17.93,19.29,21.58,1.6800000000000002
2757,95.36,22.08,17.86,47.42,63.64,1.6
2758,-9.72,14.96,19.0,-34.18,11.95,0.49
2759,-41.92,10.43,23.3,-121.03,92.13,0.35000000000000003
2760,-996.45,-14.38,7.77,-1073.42,-6.67,-0.85
2761,-34.63,6.86,10.5,-48.37,13.95,0.37
2762,31.67,18.39,19.7,-7.46,17.6,0.81
2763,32.04,25.02,26.78,-8.94,12.81,1.42
2765,71.35,23.72,21.91,22.98,52.85,0.92
2766,103.09,16.44,16.08,5.59,75.18,0.77
2767,-12.62,13.81,18.89,-44.99,6.38,0.61
2768,136.34,39.27,30.99,52.61,130.6,1.4
2769,-52.57,22.93,41.69,-96.57,46.56,0.6900000000000001
2770,34.13,15.76,19.31,-31.37,71.74,0.28
2771,15.34,23.47,27.2,-26.43,15.13,1.29
2772,28.34,16.73,25.64,-72.06,48.46,0.88
2773,55.82,38.75,37.75,5.67,32.15,1.7000000000000002
2775,118.96,29.95,23.5,55.13,114.15,1.55
2776,6.8,15.93,27.81,-83.43,36.45,1.09
2777,52.54,36.43,43.36,-24.8,48.16,1.54
2778,-13.65,10.83,15.01,-50.45,-0.26,0.72
2779,-60.5,9.68,19.93,-93.52,-3.56,0.45
2780,-121.65,6.07,23.88,-170.41,7.31,0.39
2781,20.99,15.67,20.91,-23.43,17.53,1.1400000000000001
2782,0.49,14.4,19.78,-45.77,22.91,0.27
2783,17.19,16.77,21.99,-37.7,49.58,1.85
2785,-118.39,2.63,7.58,-136.22,41.63,0.09
2786,-4.69,15.89,22.07,-58.12,20.42,0.43
2787,14.55,21.27,27.98,-46.13,24.82,1.09
2788,14.83,23.93,31.49,-49.57,24.8,1.97
2789,14.57,16.74,23.17,-46.79,29.71,2.21
2790,4.73,26.96,43.95,-71.64,12.51,2.17
2791,-4.39,19.29,28.41,-65.45,33.78,1.8399999999999999
2792,-62.63,18.94,39.17,-104.74,17.71,1.45
2793,11.54,29.84,34.03,-24.92,42.88,1.1400000000000001
2795,26.28,22.55,24.08,1.2,37.76,0.7000000000000001
2796,42.04,9.47,17.34,-77.08,137.95,0.8
2797,-24.73,4.85,7.39,-34.37,-3.75,0.12
2798,7.69,8.85,10.06,-12.03,24.85,0.63
2799,-15.63,4.37,6.42,-31.93,13.09,0.15
2800,16.34,9.53,10.13,-5.92,84.97,0.55
2801,7.63,13.61,17.21,-20.92,28.94,0.91
2802,37.05,12.49,12.57,-0.64,23.44,0.67
2803,86.14,17.04,12.85,32.61,98.74,0.6900000000000001
2805,66.84,6.83,4.87,40.25,25.15,0.39
2806,8.51,7.88,9.35,-15.72,18.23,0.21
2807,3.92,9.1,9.92,-8.27,1.53,0.46
2808,-25.83,5.72,10.93,-47.67,4.25,0.16
2809,21.94,8.78,11.23,-21.82,44.42,0.67
2810,-3.86,7.11,9.98,-28.76,14.25,0.48
2811,33.16,8.51,10.51,-19.03,9.69,0.6000000000000001
2812,-5.72,9.74,17.16,-43.24,6.47,1.15
2813,-39.86,3.8,8.09,-53.03,7.2,0.2
2815,18.14,20.26,27.48,-26.27,38.1,1.08
2816,-46.5,3.12,8.59,-63.68,-0.6000000000000001,0.16
2817,-11.22,7.18,13.58,-47.13,0.89,0.54
2818,17.13,16.25,20.42,-20.42,3.06,1.48
2819,-25.83,5.32,9.91,-46.32,11.05,0.2
2820,0.91,9.21,19.35,-52.4,6.26,0.72
2821,35.04,17.93,24.11,-25.63,28.99,1.51
2822,2.92,8.12,12.67,-35.91,17.88,0.27
2823,18.5,13.94,24.38,-42.82,24.04,0.53
2824,-13.1,9.44,19.09,-50.55,9.7,0.37
2825,26.57,16.93,25.59,-5.49,39.74,0.8
2826,9.25,10.46,18.64,-43.88,-15.85,0.32
2827,0.86,14.42,30.84,-53.24,6.47,0.6000000000000001
2828,11.83,8.04,12.82,-37.29,51.71,0.6000000000000001
2829,-14.43,8.42,20.34,-58.6,47.64,0.41000000000000003
2830,1.98,8.8,15.85,-44.48,7.72,0.39
2831,6.53,20.15,35.48,-43.21,25.36,2.33
2832,35.92,13.24,22.35,-40.76,25.23,1.69
2833,51.15,28.67,42.52,-32.57,53.6,1.75
2835,-68.17,3.16,19.25,-83.58,-0.85,0.09
2836,-5.4,11.69,19.83,-41.05,0.38,0.30000000000000004
2837,19.22,13.5,28.56,-52.73,51.86,0.43
2838,18.25,11.73,18.39,-36.22,16.81,0.74
2839,10.68,9.43,9.68,-2.58,-1.06,0.43
2840,28.5,10.78,12.03,-10.39,18.12,0.68
2841,-6.86,31.46,74.94,-58.02,31.92,1.72
2842,20.61,9.53,13.06,-27.03,36.53,0.7000000000000001
2843,23.14,8.8,10.53,-16.43,20.52,0.37
2845,52.81,17.52,23.49,-25.42,30.81,0.77
2847,-23.25,11.96,30.4,-60.66,10.38,0.54
2848,-76.58,1.9300000000000002,10.3,-81.26,-2.04,0.09
2857,-17.03,8.96,18.86,-52.49,1.7000000000000002,0.44
2910,-7.05,5.46,8.0,-31.75,4.67,0.34
600003,191.78,6.44,2.31,179.13,7.71,0.19
600004,127.98,104.38,100.66,39.11,83.56,7.09
600005,-651.71,-3.58,39.05,-754.64,-24.66,-0.03
600006,376.32,38.59,41.58,341.63,49.59,1.15
600007,150.0,73.46,71.96,101.82,131.39,3.76
600008,91.05,78.96,78.63,30.71,172.25,1.9500000000000002
600009,180.83,100.45,92.14,100.6,94.17,9.39
600010,1838.52,-7.5,-5.29,1250.53,42.63,-0.14
600011,484.76,101.59,90.13,436.67,53.89,4.36
600012,48.81,112.48,114.72,-13.53,52.43,4.68
