序号,证券代码,证券简称,最新价,涨跌幅,关联原因,所属其他概念
9,600198,*ST大唐,6.68,-3.05%,主营集成电路、芯片，芯片国产化龙头企业。高端五模芯片实现放量应用，军工芯片市场独占鳌头,4G，集成电路，金融IC卡，网络游戏，芯片国产化，移动支付
10,2231,奥维通信,7.32,-2.40%,国内网络优化行业主流企业，同时造养老综合服务平台,4G，养老
11,300299,富春股份,4.83,-2.23%,专业为中国移动、中国联通、中国电信等通信运营商提供通信网络建设技术服务；9亿收购上海骏梦，涉足网游业务；增资APP开发商打造大文化产业链,4G
12,300077,国民技术,7.46,-1.19%,公司主营集成电路、关键元器件、安全芯片及移动支付类产品：金融IC、4G、5G。,恒大，集成电路，举牌，金融IC卡，网络安全，芯片国产化，移动支付
13,2115,三维通信,10.69,-0.93%,是专业提供无线产品和网络覆盖解决方案的国家重点高新技术企业和软件企业。公司致力于为客户提供无线网络延伸覆盖、网络优化以及无线系统综合解决方案，跨越WCDMA、TD-SCDMA、GSM、CDMA等多个网络平台,量子信息
14,600050,中国联通,5.15,-0.39%,电信行业3巨头之一,3G，混改，三网融合，梧桐树，移动支付，中字头
15,2446,盛路通信,8.65,-0.35%,公司是一家专门从事各类通信天线、微波器件设备研发和生产的民营高科技企业，也是国内规模最大、技术最先进的通信设备制造商之一，国内领先的天线、射频设备及器件的生产基地。是国内规模最大、技术最先进的通信设备制造商之一,4G，北斗导航，车联网，军民融合，无人驾驶，移动支付
16,600485,信威集团,--,--,"信威集团基于灵巧通信搭建的“空天信息网络”作为中国升级版的“铱星计划”,实现全球100%无缝覆盖,地、空、天三位一体的无线宽带信息网络。",3G
17,2049,紫光国微,29.08,0.10%,布局存储全产业链，国内存储第一股，国内IC龙头。600亿元拟投入存储芯片工厂，37.9 亿元拟收购台湾力成25%股权，162亿元拟投入对芯片产业链上下游的公司的收购。,电子元件，核高基，集成电路，金融IC卡，蓝宝石，芯片国产化，移动支付
18,600804,鹏博士,7.22,1.83%,"通过超宽带云管端平台搭载各类互联网应用,特别是通过大麦盒子和大麦电视的推广和部署,构建全球OTT平台，打造宽带、互联网电视、语音、智慧家庭、在线教育和移动转售六合一的统一通信云平台",大数据，移动转售，云计算
19,600289,*ST信通,2.7,2.66%,主要从事电信管理软件、信息安全、增值业务、智能交通等方面的行业应用软件开发、解决方案提供和技术服务，是中国最大的应用软件开发和集成商之一,智慧城市
20,2017,东信和平,11.26,9.96%,"SIM卡生产商，金融IC卡、智能卡生产商；转型平台运营商，平台建设正稳步推进,预计年内将可与部分城市的公交系统对接,从而实现线上用户的开发",金融IC卡，物联网，移动支付
